# 例题5-4 大偏心无已知
"b": 300, "h": 400, "N": 396, "a_s": 40, "M2": 218, "M1": 218*0.92, "rtype": 'HRB400', "ctype": "C30", "l": 2400, "checksym": False |1782
# 例题5-5 大偏心已知As2
"b": 300, "h": 400, "N": 396, "a_s": 40, "M2": 218, "M1": 218*0.92, "rtype": 'HRB400', "ctype": "C30", "l": 2400, "checksym": False, "As2":942 |1606
# 例题5-6 大偏心已知As2
"b": 300, "h": 500, "N": 160, "a_s": 40, "M2": 250.9, "M1": 250.9, "rtype": 'HRB400', "ctype": "C30", "l": 6000, "checksym": False, "As2":1520 |1512
# 例题5-7 大偏心未知
"b": 300, "h": 700, "N": 600, "a_s": 45, "M2": 180, "M1": 180, "rtype": 'HRB400', "ctype": "C40", "l": 5000, "checksym": False |True
# 例题5-10 小偏心1
"b": 400, "h": 600, "N": 4600, "a_s": 45, "M2": 130, "M1": 65, "rtype": 'HRB400', "ctype": "C35", "l": 3000, "checksym": False |615
# 例题5-12 大偏心对称
"b": 300, "h": 400, "N": 396, "a_s": 40, "M2": 218, "M1": 218*0.92, "rtype": 'HRB400', "ctype": "C30", "l": 2400, "checksym": True |1434
# 例题5-13 小偏心对称
"b": 400, "h": 700, "N": 3500, "a_s": 45, "M2": 350, "M1": 350*0.88, "rtype": 'HRB400', "ctype": "C40", "l": 3300, "checksym": True |720.5
